t model,t_reduction,t search,t all
2.083999788737856e-06,0.3054201199997806,3.02993203799997,7.772951705000196
9.410000529896934e-07,0.3061639339998692,0.17174109699999462,0.5955785450000803
1.082000380847603e-06,0.31865442400021493,0.15156058000002304,0.5750242269996306
9.309997039963491e-07,0.34943257099985203,0.13021922500001892,0.5821214329998838
1.2330001482041553e-06,0.3901821849999578,0.11539804599988202,0.6054461080002511
1.3229996511654463e-06,0.44446181800003615,0.2275853129999632,0.7750285770002847
8.309998520417139e-07,0.470377118000215,0.10664414400025635,0.6806677340000533
1.2719997357635293e-06,0.3358607660002235,0.2132730480002465,0.6571192720002728
1.0720000318542589e-06,0.5648856160000832,0.19945720399982747,0.866986863999955
1.0520002433622722e-06,0.3066667180000877,0.30002015600030063,0.7110007880000921
9.709997357276734e-07,0.2513257150003483,0.28667631600001187,0.6460049320003236
1.041999894368928e-06,0.30252415999984805,0.2171065859997725,0.6269596240003921
1.0120002116309479e-06,0.46561929600011354,0.26303427899983944,0.8408320959997582
7.610001375724096e-07,0.29460988200025895,0.15193005199989784,0.5515209690001939
1.142000201070914e-06,0.3809483730001375,0.12394256700008555,0.60489403199972
1.2720001905108802e-06,0.4956832050002049,0.9033254579999266,1.498047336000127
1.5929999790387228e-06,0.41432294800006275,0.22934837899993,0.7727787690000696
9.520003914076369e-07,0.6141776289996415,0.7314619730000231,1.448825591000059
1.3630001376441214e-06,0.5546529020002708,0.27032030999998824,0.9530269259998931
1.5230002645694185e-06,0.5862754220001989,0.32045784499996444,1.0121347100002822
1.1419997463235632e-06,0.3828875290000724,0.3050252499997441,0.7981704170001649
1.8529999579186551e-06,0.40490932800003065,0.5698476720003782,1.1006605440002204
2.153999957954511e-06,0.49872421800000666,0.18271672699984265,0.8102491740000914
9.710001904750243e-07,0.5618818350003494,0.23659348399996816,0.8939872490000198
1.0020003173849545e-06,0.5192640580003172,1.024219040999924,1.6496182890000455
2.0940001377312e-06,0.5056967400000758,0.3488327679997383,0.9826880800001163
2.1939999896858353e-06,0.31525704400019094,0.8989900110000235,1.341435607999756
1.8340001588512678e-06,0.2982321330000559,0.20300802099973225,0.626900681999814
8.519996299582999e-07,0.3947398200002681,0.8033217150000382,1.3002121439999428
1.5129999155760743e-06,0.39452699100002064,0.20424671499995384,0.7247867649998625
9.51999936660286e-07,0.2917023700001664,0.86637972599965,1.2610271640000974
9.619998309062794e-07,0.3047016939999594,0.6772087879999162,1.0872031210001296
1.413000063621439e-06,0.3010450570000103,0.2110706189996563,0.6401870450004026
9.719997251522727e-07,0.6656917740001518,0.3279443920000631,1.1000523729999259
1.0220001058769412e-06,0.5066101329998673,1.0444677979999142,1.6568506500002513
1.4329998521134257e-06,0.44400511200001347,1.0147078529998907,1.5860975649998181
1.1120000635855831e-06,0.2980019920000814,0.29584760299985646,0.7025114110001596
9.620002856536303e-07,0.29795877099968493,0.23009462699974392,0.6345587910000177
8.309998520417139e-07,0.35925153099969975,0.280153405999954,0.7407576299997345
9.119999049289618e-07,0.49311786599992047,0.1654188239999712,0.7623560659999384
1.0720000318542589e-06,0.34625944299978073,0.26742583300028855,0.7164257379999981
1.0220001058769412e-06,0.3955528860001323,0.37638305299969943,0.8775456030002715
1.603000328032067e-06,0.31528439499970773,1.1030039470001611,1.5533352900001773
1.5430000530614052e-06,0.40937331899976925,0.14604923600018083,0.6713762320000569
1.1220004125789274e-06,0.3725814649997119,0.31221037200020874,0.7827622670001801
9.919999683916103e-07,0.45279208700003437,0.18353534199968635,0.7446773500000745
1.0320000001229346e-06,0.29486218500005634,0.17977379900003143,0.5738544440000624
8.810002327663824e-07,0.2841028309999274,0.1748915749999469,0.5631167399997139
1.0520002433622722e-06,0.3273658879998038,0.17473901899984412,0.5995179819997247
1.202000021294225e-06,0.43689519099962126,0.2388338030000341,0.7870168640001793
9.020000106829684e-07,0.45783659400012766,0.7107722709997688,1.2734271360000093
1.4830002328380942e-06,0.41615828900012275,0.2563508569996884,0.7840772029999243
1.1619999895629007e-06,0.3822096789999705,0.16166883300002155,0.6500957240000389
9.82000074145617e-07,0.3073954550000053,0.20070297900019796,0.6100390980000157
9.020000106829684e-07,0.37724098199987566,0.15905272800000603,0.6435618730001806
8.309998520417139e-07,0.35574873499990645,0.31199727200009875,0.7680921510000189
1.1520000953169074e-06,0.3842449540002235,0.15566376300012053,0.65076038899997
8.809997780190315e-07,0.4574515720000818,0.27594637800029886,0.8336477249999916
8.520000847056508e-07,0.3847258050000164,0.17388080799992167,0.6601790889999393
9.82000074145617e-07,0.4473637289997896,0.13245724099988365,0.682609253999999
1.3485999716067454e-05,0.297496303999651,0.18788198199990802,0.5918080860001282
1.2119999155402184e-06,0.3627841349998562,0.18613393299983727,0.6529882760000874
8.810002327663824e-07,0.3183782460000657,0.14524785399999018,0.5669930079998267
1.0620001376082655e-06,0.30271042899994427,0.6991723880000791,1.1031797540003936
1.874000190582592e-06,0.51172092600018,0.47270639499993194,1.1086279619999004
1.7630000002100132e-06,0.5007717059997958,0.13593234800009668,0.76658922300021
1.2720001905108802e-06,0.3273962749999555,0.26564490400005525,0.69849917800002
9.020000106829684e-07,0.3560981999999058,0.17723062100003517,0.6366927819999546
9.51999936660286e-07,0.48215788600009546,0.28095584099992266,0.8701954510001997
8.409997462877072e-07,0.3594578189999993,0.18452155099976153,0.6471486059999734
1.0929998097708449e-06,0.5474221140002555,0.16495531400005348,0.8137116860002607
1.2220002645335626e-06,0.2934661870003765,0.26138555699981225,0.6580021970003145
9.51999936660286e-07,0.4814333469998928,0.28390443900025275,0.865848281000126
1.1520000953169074e-06,0.2699035180003193,0.17730922700002338,0.5516238509999312
1.5430000530614052e-06,0.37771496000004845,0.31825774000026286,0.797158089000277
2.1939999896858353e-06,0.3717465289996653,0.2723205699999198,0.7543206200002714
1.4830002328380942e-06,0.3078042789998108,0.2752152269999897,0.6941230430002179
8.719998731976375e-07,0.4121563669996249,0.1902110270002595,0.7076829059997181
1.3820003914588597e-06,0.3301700750002965,0.0969040509999104,0.5295036680004159
1.2119999155402184e-06,0.27561451499968825,0.2768901370000094,0.6606448110001111
9.51999936660286e-07,0.3966887759997917,0.18661672799998996,0.6879629029999705
8.619999789516442e-07,0.6711871679999604,0.22926114599977154,1.0040995459999067
1.2720001905108802e-06,0.2556917510000858,0.17825138399985008,0.540015367000251
1.0520002433622722e-06,0.6219059479999487,0.9161865740002213,1.6518117099999472
1.503000021330081e-06,0.4159084909997546,0.7472017730001426,1.2935960709996834
1.0720000318542589e-06,0.26850421400013147,0.468766948999928,0.8418067540001175
1.5129999155760743e-06,0.4313508949999232,0.1644950219997554,0.7072763640003359
1.1419997463235632e-06,0.4938670389997242,0.1677352870001414,0.7651011529997049
1.1619999895629007e-06,0.2890408490002301,0.22328832699986378,0.6104368129999784
1.603000328032067e-06,0.5106407610001042,0.46340763100033655,1.0927488999996058
1.8529999579186551e-06,0.4220250500002294,0.2914015559999825,0.8263206659999014
8.420001904596575e-07,0.3028794070000913,0.1813627080000515,0.5896294720000697
9.720001798996236e-07,0.3516065579997303,0.2744995759999256,0.7258498890000737
1.0219996511295903e-06,0.2920285010000043,0.20460001800029204,0.601256191000175
8.920001164369751e-07,0.29418353300025046,0.2780810300000667,0.6759030789999088
9.020000106829684e-07,0.6982284790001358,0.22223992999988695,1.0267854409999018
8.619999789516442e-07,0.5022738239999853,0.2071007060003467,0.8135087059999933
1.1829997674794868e-06,0.36295268200001374,0.3076642599999104,0.773394934999942
1.202000021294225e-06,0.3969452760002241,0.41271327999993446,0.9161613739997847
1.5830000847927295e-06,0.3698222020002504,0.3618316889997004,0.8597797120000905
